batch,x,y,z,brand,model,angle,sampleNumber,30:23:03:87:17:80#1,30:23:03:87:17:81#1,30:23:03:87:17:82#1,30:23:03:87:17:98#1,30:23:03:87:17:99#1,30:23:03:87:17:9a#1,30:23:03:87:19:6c#1,30:23:03:87:19:6d#1,30:23:03:87:19:6e#1,36:23:03:87:17:80#1,36:23:03:87:17:98#1,36:23:03:87:19:6c#1,58:cb:52:d7:b4:d9#1,58:cb:52:d7:b5:31#1,58:cb:52:d7:b5:5d#1,58:cb:52:d7:bb:61#1,c4:41:1e:fa:08:88#1,c4:41:1e:fa:08:89#1,c4:41:1e:fa:08:8a#1,ca:41:1e:fa:08:88#1
cd042a82dbaa9dd1bf52c8a7920d7296,4.8000,4.0000,0.0000,google,Pixel 3a,1.00,19,19.291000000000,3.098000000000,3.236000000000,22.419000000000,4.963000000000,5.072000000000,29.491000000000,13.245000000000,21.390000000000,-100,-100,29.757000000000,13.492000000000,3.915000000000,4.464000000000,13.861000000000,18.982000000000,4.457000000000,1.693000000000,-100
cd042a82dbaa9dd1bf52c8a7920d7296,4.8000,4.0000,0.0000,google,Pixel 3a,1.00,20,20.229000000000,3.313000000000,3.412000000000,24.457000000000,5.109000000000,4.955000000000,29.370000000000,13.407000000000,12.689000000000,-100,-100,-100,13.555000000000,3.918000000000,4.376000000000,13.833000000000,19.282000000000,4.388000000000,1.557000000000,-100
cd042a82dbaa9dd1bf52c8a7920d7296,4.8000,4.0000,0.0000,google,Pixel 3a,1.00,21,18.823000000000,3.285000000000,3.412000000000,22.882000000000,5.001000000000,5.131000000000,29.604000000000,13.416000000000,20.574000000000,-100,-100,-100,13.520000000000,3.941000000000,4.386000000000,13.801000000000,19.607000000000,4.182000000000,1.713000000000,-100
cd042a82dbaa9dd1bf52c8a7920d7296,4.8000,4.0000,0.0000,google,Pixel 3a,1.00,22,19.179000000000,3.285000000000,3.549000000000,22.882000000000,5.123000000000,5.189000000000,29.769000000000,13.401000000000,12.885000000000,-100,-100,-100,13.520000000000,3.948000000000,4.423000000000,13.792000000000,19.291000000000,4.291000000000,1.713000000000,-100
cd042a82dbaa9dd1bf52c8a7920d7296,4.8000,4.0000,0.0000,google,Pixel 3a,1.00,23,20.070000000000,3.370000000000,3.490000000000,22.569000000000,5.051000000000,5.175000000000,29.491000000000,13.241000000000,12.768000000000,-100,22.407000000000,-100,13.436000000000,3.939000000000,4.426000000000,13.704000000000,19.607000000000,4.310000000000,1.771000000000,-100
cd042a82dbaa9dd1bf52c8a7920d7296,4.8000,4.0000,0.0000,google,Pixel 3a,1.00,24,19.413000000000,3.429000000000,3.314000000000,22.807000000000,4.973000000000,4.896000000000,29.757000000000,13.176000000000,12.924000000000,-100,-100,-100,13.548000000000,3.892000000000,4.420000000000,13.592000000000,20.082000000000,4.498000000000,1.732000000000,-100
cd042a82dbaa9dd1bf52c8a7920d7296,4.8000,4.0000,0.0000,google,Pixel 3a,1.00,25,19.882000000000,3.057000000000,3.392000000000,22.563000000000,4.963000000000,5.033000000000,29.604000000000,13.241000000000,12.748000000000,-100,-100,29.595000000000,13.466000000000,3.972000000000,4.383000000000,13.792000000000,19.757000000000,4.348000000000,1.732000000000,-100
cd042a82dbaa9dd1bf52c8a7920d7296,4.8000,4.0000,0.0000,google,Pixel 3a,1.00,26,19.638000000000,3.298000000000,3.432000000000,23.507000000000,4.969000000000,4.955000000000,30.082000000000,13.241000000000,21.039000000000,-100,-100,-100,13.464000000000,3.904000000000,4.411000000000,13.551000000000,19.457000000000,4.466000000000,1.733000000000,-100
cd042a82dbaa9dd1bf52c8a7920d7296,4.8000,4.0000,0.0000,google,Pixel 3a,1.00,27,19.413000000000,3.248000000000,3.432000000000,22.719000000000,5.048000000000,4.999000000000,29.248000000000,13.201000000000,20.600000000000,-100,-100,-100,13.520000000000,3.826000000000,4.426000000000,13.789000000000,19.132000000000,4.494000000000,1.615000000000,-100
cd042a82dbaa9dd1bf52c8a7920d7296,4.8000,4.0000,0.0000,google,Pixel 3a,1.00,28,20.070000000000,3.332000000000,3.314000000000,23.032000000000,5.001000000000,4.955000000000,29.607000000000,13.241000000000,12.768000000000,19.535000000000,-100,-100,13.468000000000,3.939000000000,4.254000000000,13.742000000000,19.144000000000,4.348000000000,1.635000000000,-100
